Customer ID,recency,frequency,monetary,recency_score,frequency_score,monetary_score,RFM_SCORE,segment
12386.0,-27,2,401.9,1,2,2,12,hibernating
12388.0,-349,6,2780.6600000000003,4,4,5,44,loyal_customers
12390.0,-285,1,549.84,2,1,3,21,hibernating
12391.0,-343,1,460.89,4,1,2,41,promising
12393.0,-292,4,1582.6000000000001,2,4,4,24,at_Risk
12394.0,-301,2,1272.48,3,2,4,32,about_to_sleep
12395.0,-345,12,3018.63,4,5,5,45,loyal_customers
12397.0,-329,2,2409.9000000000005,3,2,5,32,about_to_sleep
12398.0,-319,1,1635.6599999999999,3,1,4,31,about_to_sleep
12399.0,-245,4,1108.65,2,4,4,24,at_Risk
12401.0,-61,1,84.3,1,1,1,11,hibernating
12402.0,-41,1,225.6,1,1,1,11,hibernating
12403.0,-315,1,427.7,3,1,2,31,about_to_sleep
12405.0,-216,1,1710.3900000000003,2,1,4,21,hibernating
12406.0,-342,2,3415.3,4,2,5,42,potential_loyalists
12407.0,-315,5,1708.1199999999997,3,4,4,34,loyal_customers
12408.0,-332,5,2888.55,4,4,5,44,loyal_customers
12409.0,-286,3,11072.67,2,3,5,23,at_Risk
12410.0,-56,2,693.3299999999999,1,2,3,12,hibernating
12412.0,-290,3,1226.88,2,3,4,23,at_Risk
12413.0,-298,3,758.1,3,3,3,33,need_attention
12414.0,-147,3,562.41,1,3,3,13,at_Risk
12415.0,-340,21,124914.53,4,5,5,45,loyal_customers
12417.0,-361,9,3649.1000000000004,5,5,5,55,champions
12418.0,-252,1,668.58,2,1,3,21,hibernating
12420.0,-301,1,600.3900000000001,3,1,3,31,about_to_sleep
12421.0,-349,4,807.0400000000001,4,4,3,44,loyal_customers
12422.0,-269,3,803.5599999999998,2,3,3,23,at_Risk
12423.0,-364,8,1859.31,5,5,4,55,champions
12424.0,-202,2,1760.9599999999996,2,2,4,22,hibernating
12425.0,-286,1,777.1999999999999,2,1,3,21,hibernating
12426.0,-170,1,582.73,1,1,3,11,hibernating
12427.0,-343,3,825.8,4,3,3,43,potential_loyalists
12428.0,-339,9,7956.46,4,5,5,45,loyal_customers
12429.0,-355,4,3750.4,5,4,5,54,champions
12430.0,-321,1,256.4,3,1,2,31,about_to_sleep
12431.0,-329,15,6487.45,3,5,5,35,loyal_customers
12432.0,-322,5,5059.319999999999,3,4,5,34,loyal_customers
12433.0,-364,7,13375.87,5,5,5,55,champions
12434.0,-280,2,806.14,2,2,3,22,hibernating
12435.0,-285,2,7829.890000000001,2,2,5,22,hibernating
12436.0,-265,1,509.01000000000005,2,1,3,21,hibernating
12437.0,-363,18,4951.41,5,5,5,55,champions
12438.0,-350,2,2906.8500000000004,4,2,5,42,potential_loyalists
12441.0,2,1,173.55,1,1,1,11,hibernating
12442.0,-361,1,172.06,5,1,1,51,new_customers
12444.0,-343,5,5005.46,4,4,5,44,loyal_customers
12445.0,-342,1,133.4,4,1,1,41,promising
12446.0,-307,1,1002.3100000000001,3,1,4,31,about_to_sleep
12447.0,-121,1,476.49,1,1,2,11,hibernating
12448.0,-320,1,449.4500000000001,3,1,2,31,about_to_sleep
12449.0,-342,4,4067.2900000000004,4,4,5,44,loyal_customers
12450.0,-208,2,197.88,2,2,1,22,hibernating
12451.0,-354,5,9035.52,5,4,5,54,champions
12452.0,-348,2,430.57,4,2,2,42,potential_loyalists
12453.0,-230,1,707.0899999999999,2,1,3,21,hibernating
12454.0,-308,1,3528.34,3,1,5,31,about_to_sleep
12455.0,-291,6,2466.8599999999997,2,4,5,24,at_Risk
12456.0,-320,3,3181.04,3,3,5,33,need_attention
12457.0,-298,7,2363.23,3,5,5,35,loyal_customers
12458.0,-293,2,947.4,3,2,4,32,about_to_sleep
12461.0,-270,2,826.88,2,2,3,22,hibernating
12462.0,-346,2,1189.5900000000001,4,2,4,42,potential_loyalists
12463.0,-311,4,1344.7800000000002,3,4,4,34,loyal_customers
12464.0,-354,8,1212.05,5,5,4,55,champions
12465.0,-347,2,742.19,4,2,3,42,potential_loyalists
12468.0,-177,2,729.54,1,2,3,12,hibernating
12471.0,-362,30,19824.05,5,5,5,55,champions
12472.0,-332,7,6572.110000000001,4,5,5,45,loyal_customers
12473.0,-335,5,3938.55,4,4,5,44,loyal_customers
12474.0,-347,18,7375.79,4,5,5,45,loyal_customers
12475.0,-311,1,723.3799999999999,3,1,3,31,about_to_sleep
12476.0,-349,11,6816.42,4,5,5,45,loyal_customers
12477.0,-342,6,13219.740000000002,4,4,5,44,loyal_customers
12478.0,-361,1,680.9900000000001,5,1,3,51,new_customers
12479.0,-353,1,527.2,5,1,3,51,new_customers
12480.0,-336,4,3281.6299999999997,4,4,5,44,loyal_customers
12481.0,-342,10,5596.32,4,5,5,45,loyal_customers
12483.0,-347,8,2484.98,4,5,5,45,loyal_customers
12484.0,-332,6,4541.719999999999,4,4,5,44,loyal_customers
12488.0,-355,3,1298.6600000000003,5,3,4,53,potential_loyalists
12489.0,-28,1,334.92999999999995,1,1,2,11,hibernating
12490.0,-359,10,5417.93,5,5,5,55,champions
12491.0,-326,1,460.40000000000003,3,1,2,31,about_to_sleep
12492.0,-301,2,263.21,3,2,2,32,about_to_sleep
12493.0,-199,2,433.74,2,2,2,22,hibernating
12494.0,-349,7,1246.1,4,5,4,45,loyal_customers
12497.0,-283,1,1043.1,2,1,4,21,hibernating
12498.0,-343,3,403.7,4,3,2,43,potential_loyalists
12500.0,-341,11,4257.820000000001,4,5,5,45,loyal_customers
12501.0,-28,1,2169.3900000000003,1,1,5,11,hibernating
12502.0,-269,5,3723.87,2,4,5,24,at_Risk
12504.0,-346,2,482.04999999999995,4,2,2,42,potential_loyalists
12506.0,-132,1,73.50000000000001,1,1,1,11,hibernating
12507.0,-230,3,1304.81,2,3,4,23,at_Risk
12508.0,-338,2,398.27,4,2,2,42,potential_loyalists
12509.0,-80,1,176.5,1,1,1,11,hibernating
12510.0,-222,2,982.5699999999999,2,2,4,22,hibernating
12512.0,-298,2,138.03,3,2,1,32,about_to_sleep
12513.0,-252,1,612.2900000000001,2,1,3,21,hibernating
12514.0,-97,1,1017.6800000000001,1,1,4,11,hibernating
12515.0,-11,1,383.70000000000005,1,1,2,11,hibernating
12516.0,-287,2,1312.06,2,2,4,22,hibernating
12517.0,-336,5,2502.84,4,4,5,44,loyal_customers
12518.0,-364,5,2056.89,5,4,4,54,champions
12519.0,-301,1,340.84000000000003,3,1,2,31,about_to_sleep
12520.0,-285,5,2634.26,2,4,5,24,at_Risk
12521.0,-222,1,599.68,2,1,3,21,hibernating
12522.0,-325,2,192.72000000000003,3,2,1,32,about_to_sleep
12523.0,-345,11,1789.77,4,5,4,45,loyal_customers
12524.0,-355,8,4485.719999999999,5,5,5,55,champions
12526.0,-364,3,1316.6600000000003,5,3,4,53,potential_loyalists
12527.0,-283,3,348.71000000000004,2,3,2,23,at_Risk
12528.0,-355,6,1933.4800000000002,5,5,4,55,champions
12530.0,-305,4,1662.28,3,4,4,34,loyal_customers
12531.0,-350,1,125.22,4,1,1,41,promising
12532.0,-334,1,349.83000000000004,4,1,2,41,promising
12534.0,-234,1,1089.18,2,1,4,21,hibernating
12535.0,-273,2,716.35,2,2,3,22,hibernating
12536.0,-321,3,12601.830000000002,3,3,5,33,need_attention
12538.0,-335,1,363.95,4,1,2,41,promising
12539.0,-342,4,5568.349999999999,4,4,5,44,loyal_customers
12540.0,-345,17,13400.24,4,5,5,45,loyal_customers
12541.0,-335,3,981.1800000000002,4,3,4,43,potential_loyalists
12544.0,-328,1,372.70000000000005,3,1,2,31,about_to_sleep
12545.0,-289,2,1000.39,2,2,4,22,hibernating
12546.0,-318,2,1161.5,3,2,4,32,about_to_sleep
12547.0,-167,2,207.8,1,2,1,12,hibernating
12548.0,-198,1,95.19999999999999,2,1,1,21,hibernating
12550.0,-285,1,964.83,2,1,4,21,hibernating
12551.0,-7,1,168.0,1,1,1,11,hibernating
12552.0,-326,2,437.82,3,2,2,32,about_to_sleep
12553.0,-356,10,3692.2799999999997,5,5,5,55,champions
12556.0,-314,2,603.7099999999999,3,2,3,32,about_to_sleep
12557.0,-348,5,11990.96,4,4,5,44,loyal_customers
12558.0,-357,1,269.96000000000004,5,1,2,51,new_customers
12559.0,-54,2,561.7099999999999,1,2,3,12,hibernating
12560.0,-359,3,2134.01,5,3,5,53,potential_loyalists
12561.0,-62,1,238.85,1,1,1,11,hibernating
12562.0,-356,7,3781.74,5,5,5,55,champions
12564.0,-103,1,456.90000000000003,1,1,2,11,hibernating
12565.0,-76,1,145.92000000000002,1,1,1,11,hibernating
12566.0,-278,1,351.65,2,1,2,21,hibernating
12567.0,-342,10,9401.279999999999,4,5,5,45,loyal_customers
12569.0,-362,32,4124.6900000000005,5,5,5,55,champions
12571.0,-325,2,519.61,3,2,3,32,about_to_sleep
12572.0,-356,2,1020.42,5,2,4,52,potential_loyalists
12573.0,-137,1,160.54,1,1,1,11,hibernating
12574.0,-49,1,218.45000000000002,1,1,1,11,hibernating
12576.0,-329,5,1315.83,3,4,4,34,loyal_customers
12577.0,-329,3,657.8,3,3,3,33,need_attention
12578.0,-343,2,2794.5099999999998,4,2,5,42,potential_loyalists
12579.0,-286,1,440.41999999999996,2,1,2,21,hibernating
12580.0,-118,1,415.70000000000005,1,1,2,11,hibernating
12581.0,-325,1,197.70999999999998,3,1,1,31,about_to_sleep
12582.0,-126,2,511.3599999999999,1,2,3,12,hibernating
12583.0,-362,15,7281.379999999999,5,5,5,55,champions
12584.0,-361,9,2338.1500000000005,5,5,5,55,champions
12585.0,-130,2,2040.0999999999997,1,2,4,12,hibernating
12586.0,-347,1,196.94000000000003,4,1,1,41,promising
12587.0,-357,1,144.0,5,1,1,51,new_customers
12588.0,-325,1,214.89999999999998,3,1,1,31,about_to_sleep
12589.0,-336,2,646.6800000000001,4,2,3,42,potential_loyalists
12590.0,-153,2,9864.26,1,2,5,12,hibernating
12591.0,-47,1,452.84999999999997,1,1,2,11,hibernating
12592.0,-272,2,437.6,2,2,2,22,hibernating
12593.0,-256,3,418.0999999999999,2,3,2,23,at_Risk
12594.0,-327,10,3338.2200000000003,3,5,5,35,loyal_customers
12596.0,-313,2,618.27,3,2,3,32,about_to_sleep
12597.0,-345,4,3811.2199999999993,4,4,5,44,loyal_customers
12598.0,-355,8,3023.08,5,5,5,55,champions
12599.0,-335,7,1032.5800000000004,4,5,4,45,loyal_customers
12600.0,-336,10,2599.04,4,5,5,45,loyal_customers
12601.0,-175,5,577.0600000000001,1,4,3,14,at_Risk
12602.0,-306,1,153.12,3,1,1,31,about_to_sleep
12603.0,-343,1,739.1999999999999,4,1,3,41,promising
12604.0,-285,2,254.17999999999998,2,2,2,22,hibernating
12607.0,-304,1,1579.51,3,1,4,31,about_to_sleep
12609.0,-286,3,1126.8500000000001,2,3,4,23,at_Risk
12610.0,-342,5,2099.54,4,4,5,44,loyal_customers
12611.0,-312,1,1193.32,3,1,4,31,about_to_sleep
12612.0,-290,1,704.04,2,1,3,21,hibernating
12613.0,-307,5,3344.38,3,4,5,34,loyal_customers
12614.0,-87,1,315.59999999999997,1,1,2,11,hibernating
12615.0,-362,4,2291.1899999999996,5,4,5,54,champions
12616.0,-269,2,713.3,2,2,3,22,hibernating
12617.0,-335,1,355.53000000000003,4,1,2,41,promising
12618.0,-343,1,177.31,4,1,1,41,promising
12619.0,-348,9,3641.24,4,5,5,45,loyal_customers
12620.0,-350,3,1339.41,4,3,4,43,potential_loyalists
12621.0,-363,20,13689.67,5,5,5,55,champions
12622.0,-132,1,180.09999999999997,1,1,1,11,hibernating
12623.0,-88,1,305.1,1,1,2,11,hibernating
12624.0,-258,2,641.13,2,2,3,22,hibernating
12625.0,-153,2,2683.82,1,2,5,12,hibernating
12626.0,-341,9,6620.48,4,5,5,45,loyal_customers
12627.0,-354,7,4478.530000000001,5,5,5,55,champions
12628.0,-360,3,786.4599999999999,5,3,3,53,potential_loyalists
12630.0,-355,2,1270.88,5,2,4,52,potential_loyalists
12631.0,-307,1,640.5,3,1,3,31,about_to_sleep
12633.0,-306,4,2163.98,3,4,5,34,loyal_customers
12635.0,-275,2,1689.1800000000003,2,2,4,22,hibernating
12637.0,-297,8,6021.9,3,5,5,35,loyal_customers
12638.0,-331,1,671.69,3,1,3,31,about_to_sleep
12639.0,-126,1,486.1,1,1,2,11,hibernating
12640.0,-341,3,1174.58,4,3,4,43,potential_loyalists
12641.0,-249,1,185.9,2,1,1,21,hibernating
12642.0,-339,3,1013.26,4,3,4,43,potential_loyalists
12643.0,-236,6,3344.6399999999994,2,5,5,25,cant_loose
12644.0,-235,1,477.90999999999997,2,1,2,21,hibernating
12645.0,-331,4,1775.1800000000003,3,4,4,34,loyal_customers
12646.0,-360,2,1346.97,5,2,4,52,potential_loyalists
12647.0,-342,12,3722.82,4,5,5,45,loyal_customers
12648.0,-210,1,318.04999999999995,2,1,2,21,hibernating
12649.0,-257,3,623.51,2,3,3,23,at_Risk
12650.0,-361,1,314.44,5,1,2,51,new_customers
12651.0,-30,1,114.0,1,1,1,11,hibernating
12652.0,-33,1,919.98,1,1,3,11,hibernating
12653.0,-216,2,2209.85,2,2,5,22,hibernating
12654.0,-354,5,601.9799999999999,5,4,3,54,champions
12656.0,-347,5,4051.17,4,4,5,44,loyal_customers
12657.0,-353,4,1643.18,5,4,4,54,champions
12658.0,-346,1,686.05,4,1,3,41,promising
12659.0,-335,1,91.68,4,1,1,41,promising
12660.0,-353,1,245.10000000000002,5,1,1,51,new_customers
12662.0,-364,11,3849.7799999999997,5,5,5,55,champions
12664.0,-356,9,4881.88,5,5,5,55,champions
12665.0,-40,1,63.0,1,1,1,11,hibernating
12667.0,-306,1,620.1300000000001,3,1,3,31,about_to_sleep
12668.0,-353,4,3807.15,5,4,5,54,champions
12669.0,-214,3,2744.03,2,3,5,23,at_Risk
12670.0,-354,5,2996.0500000000006,5,4,5,54,champions
12672.0,-35,1,225.9,1,1,1,11,hibernating
12673.0,-359,2,610.52,5,2,3,52,potential_loyalists
12674.0,-326,4,1970.6000000000001,3,4,4,34,loyal_customers
12676.0,-340,6,1331.39,4,5,4,45,loyal_customers
12678.0,-322,12,17628.46,3,5,5,35,loyal_customers
12679.0,-306,4,1113.02,3,4,4,34,loyal_customers
12680.0,-364,4,880.8100000000002,5,4,3,54,champions
12681.0,-350,22,13787.54,4,5,5,45,loyal_customers
12682.0,-361,31,12288.220000000001,5,5,5,55,champions
12683.0,-360,15,8476.57,5,5,5,55,champions
12684.0,-357,7,2283.63,5,5,5,55,champions
12685.0,-336,6,2863.08,4,5,5,45,loyal_customers
12686.0,7,1,89.14,1,1,1,11,hibernating
12688.0,-251,1,4873.8099999999995,2,1,5,21,hibernating
12689.0,-339,2,1247.61,4,2,4,42,potential_loyalists
12690.0,-159,1,389.01,1,1,2,11,hibernating
12691.0,-336,6,1035.8,4,5,4,45,loyal_customers
12693.0,-237,4,855.91,2,4,3,24,at_Risk
12694.0,-294,2,869.67,3,2,3,32,about_to_sleep
12695.0,-357,4,582.1,5,4,3,54,champions
12697.0,-336,3,957.5899999999999,4,3,4,43,potential_loyalists
12700.0,-357,4,4939.99,5,4,5,54,champions
12701.0,-285,2,797.71,2,2,3,22,hibernating
12702.0,-345,1,219.0,4,1,1,41,promising
12703.0,-293,1,283.55,3,1,2,31,about_to_sleep
12704.0,-357,8,2340.8399999999997,5,5,5,55,champions
12705.0,-349,9,6868.290000000001,4,5,5,45,loyal_customers
12707.0,-73,1,603.42,1,1,3,11,hibernating
12708.0,-335,10,2712.91,4,5,5,45,loyal_customers
12709.0,-349,15,9736.52,4,5,5,45,loyal_customers
12710.0,-268,3,1149.0200000000002,2,3,4,23,at_Risk
12712.0,-336,13,4396.13,4,5,5,45,loyal_customers
12713.0,-364,1,848.5500000000001,5,1,3,51,new_customers
12714.0,-355,5,4708.860000000001,5,4,5,54,champions
12715.0,-258,1,353.85999999999996,2,1,2,21,hibernating
12716.0,-361,2,1053.4900000000002,5,2,4,52,potential_loyalists
12717.0,-213,2,1030.98,2,2,4,22,hibernating
12718.0,-293,1,238.25,3,1,1,31,about_to_sleep
12719.0,-359,2,644.95,5,2,3,52,potential_loyalists
12720.0,-362,25,5781.730000000001,5,5,5,55,champions
12721.0,-333,6,2656.13,4,5,5,45,loyal_customers
12722.0,-279,4,997.6300000000001,2,4,4,24,at_Risk
12723.0,-361,5,725.07,5,4,3,54,champions
12724.0,-359,4,1031.4099999999999,5,4,4,54,champions
12725.0,7,1,427.8,1,1,2,11,hibernating
12726.0,-336,7,2609.1,4,5,5,45,loyal_customers
12727.0,-354,7,3980.7000000000003,5,5,5,55,champions
12728.0,-293,4,836.3299999999999,3,4,3,34,loyal_customers
12729.0,-251,1,453.01000000000005,2,1,2,21,hibernating
12731.0,-341,12,18895.91,4,5,5,45,loyal_customers
12732.0,-185,1,236.26000000000005,2,1,1,21,hibernating
12733.0,-130,1,383.95000000000005,1,1,2,11,hibernating
12734.0,-12,1,110.39999999999999,1,1,1,11,hibernating
12735.0,-49,2,779.57,1,2,3,12,hibernating
12736.0,-32,1,234.00000000000003,1,1,1,11,hibernating
12738.0,8,1,155.35,1,1,1,11,hibernating
12739.0,-286,2,1013.0400000000001,2,2,4,22,hibernating
12740.0,-301,1,427.59999999999997,3,1,2,31,about_to_sleep
12743.0,-230,2,546.4300000000001,2,2,3,22,hibernating
12744.0,-313,7,21279.29,3,5,5,35,loyal_customers
12747.0,-362,11,4196.009999999999,5,5,5,55,champions
12748.0,-364,210,33719.73,5,5,5,55,champions
12749.0,-361,5,4090.88,5,4,5,54,champions
12750.0,-236,1,275.88,2,1,2,21,hibernating
12752.0,-283,1,4366.780000000001,2,1,5,21,hibernating
12753.0,-342,6,21429.39,4,5,5,45,loyal_customers
12754.0,-129,3,3010.7400000000002,1,3,5,13,at_Risk
12755.0,-84,2,3811.9499999999994,1,2,5,12,hibernating
12756.0,-278,1,112.08000000000001,2,1,1,21,hibernating
12757.0,-349,13,7857.1,4,5,5,45,loyal_customers
12758.0,-248,2,2791.59,2,2,5,22,hibernating
12759.0,-312,3,1531.4400000000003,3,3,4,33,need_attention
12762.0,-357,2,1898.5200000000004,5,2,4,52,potential_loyalists
12763.0,-226,2,494.08000000000004,2,2,3,22,hibernating
12764.0,-48,1,1693.88,1,1,4,11,hibernating
12766.0,-361,7,6989.63,5,5,5,55,champions
12769.0,-126,1,1143.6,1,1,4,11,hibernating
12770.0,-154,1,1351.4499999999998,1,1,4,11,hibernating
12772.0,-305,1,892.4700000000001,3,1,3,31,about_to_sleep
12775.0,-347,5,1386.0400000000002,4,4,4,44,loyal_customers
12778.0,-345,6,822.23,4,5,3,45,loyal_customers
12779.0,-327,8,3981.3599999999997,3,5,5,35,loyal_customers
12781.0,-301,2,826.74,3,2,3,32,about_to_sleep
12782.0,-360,5,2330.9200000000005,5,4,5,54,champions
12783.0,-362,6,2225.91,5,5,5,55,champions
12784.0,-355,2,574.4200000000001,5,2,3,52,potential_loyalists
12785.0,0,1,311.95,1,1,2,11,hibernating
12787.0,-355,3,463.65999999999997,5,3,2,53,potential_loyalists
12789.0,-299,1,91.85000000000001,3,1,1,31,about_to_sleep
12790.0,-172,1,324.9200000000001,1,1,2,11,hibernating
12791.0,9,1,192.60000000000002,1,1,1,11,hibernating
12792.0,-108,1,400.53999999999996,1,1,2,11,hibernating
12793.0,-30,2,545.48,1,2,3,12,hibernating
12794.0,-311,2,860.41,3,2,3,32,about_to_sleep
12795.0,-346,1,430.48,4,1,2,41,promising
12797.0,1,1,254.03,1,1,2,11,hibernating
12798.0,-354,3,6977.04,5,3,5,53,potential_loyalists
12802.0,-178,1,427.58,1,1,2,11,hibernating
12808.0,-328,3,483.65000000000003,3,3,2,33,need_attention
12809.0,-187,1,489.31,2,1,2,21,hibernating
12811.0,-104,3,514.8499999999999,1,3,3,13,at_Risk
12812.0,-320,1,229.64,3,1,1,31,about_to_sleep
12814.0,-263,1,125.92,2,1,1,21,hibernating
12815.0,-217,2,1063.46,2,2,4,22,hibernating
12816.0,-269,2,572.2,2,2,3,22,hibernating
12817.0,-83,1,166.04,1,1,1,11,hibernating
12818.0,-103,1,1542.08,1,1,4,11,hibernating
12820.0,-361,4,942.34,5,4,4,54,champions
12821.0,-150,1,92.72,1,1,1,11,hibernating
12822.0,-294,2,948.8800000000002,3,2,4,32,about_to_sleep
12823.0,-290,5,1759.5,2,4,4,24,at_Risk
12824.0,-305,1,397.11999999999995,3,1,2,31,about_to_sleep
12826.0,-362,7,1474.72,5,5,4,55,champions
12827.0,-359,3,430.15,5,3,2,53,potential_loyalists
12828.0,-362,6,1018.71,5,5,4,55,champions
12829.0,-28,2,293.0,1,2,2,12,hibernating
12830.0,-327,6,6814.640000000001,3,5,5,35,loyal_customers
12831.0,-102,1,215.05,1,1,1,11,hibernating
12832.0,-332,2,383.03000000000003,4,2,2,42,potential_loyalists
12833.0,-219,1,417.38,2,1,2,21,hibernating
12834.0,-82,1,312.38,1,1,2,11,hibernating
12836.0,-305,4,2612.8599999999997,3,4,5,34,loyal_customers
12837.0,-191,1,134.1,2,1,1,21,hibernating
12838.0,-331,2,683.13,3,2,3,32,about_to_sleep
12839.0,-362,14,5591.42,5,5,5,55,champions
12840.0,-221,4,2726.77,2,4,5,24,at_Risk
12841.0,-360,25,4022.35,5,5,5,55,champions
12842.0,-294,2,1118.99,3,2,4,32,about_to_sleep
12843.0,-299,8,1702.2600000000002,3,5,4,35,loyal_customers
12844.0,-335,2,325.96,4,2,2,42,potential_loyalists
12845.0,-97,4,354.09,1,4,2,14,at_Risk
12847.0,-342,1,871.5399999999998,4,1,3,41,promising
12849.0,-333,2,1050.8899999999999,4,2,4,42,potential_loyalists
12851.0,-268,1,135.18,2,1,1,21,hibernating
12852.0,-70,1,311.55,1,1,2,11,hibernating
12853.0,-230,6,1957.1000000000004,2,5,4,25,cant_loose
12854.0,-286,3,1324.5000000000002,2,3,4,23,at_Risk
12855.0,8,1,38.1,1,1,1,11,hibernating
12856.0,-357,6,2179.93,5,5,5,55,champions
12857.0,-154,2,1106.4,1,2,4,12,hibernating
12863.0,-312,1,521.2,3,1,3,31,about_to_sleep
12864.0,-226,1,147.12,2,1,1,21,hibernating
12865.0,-338,2,1568.23,4,2,4,42,potential_loyalists
12866.0,-81,1,559.12,1,1,3,11,hibernating
12867.0,-338,7,4036.82,4,5,5,45,loyal_customers
12868.0,-179,6,1607.0600000000002,1,5,4,15,cant_loose
12871.0,-280,2,380.64000000000004,2,2,2,22,hibernating
12872.0,-38,2,599.9700000000001,1,2,3,12,hibernating
12873.0,-82,1,374.0,1,1,2,11,hibernating
12875.0,-221,2,343.2300000000001,2,2,2,22,hibernating
12876.0,-307,2,2218.020000000001,3,2,5,32,about_to_sleep
12877.0,-361,12,1535.7700000000002,5,5,4,55,champions
12878.0,-128,2,854.99,1,2,3,12,hibernating
12879.0,-320,3,573.22,3,3,3,33,need_attention
12881.0,-89,1,298.0,1,1,2,11,hibernating
12882.0,-355,2,1463.0399999999997,5,2,4,52,potential_loyalists
12883.0,-340,4,703.47,4,4,3,44,loyal_customers
12884.0,-276,1,309.05000000000007,2,1,2,21,hibernating
12885.0,-301,3,1175.2199999999998,3,3,4,33,need_attention
12886.0,-297,2,1378.3999999999999,3,2,4,32,about_to_sleep
12888.0,-150,2,354.12,1,2,2,12,hibernating
12890.0,-340,1,380.47,4,1,2,41,promising
12891.0,-179,3,331.0,1,3,2,13,at_Risk
12893.0,-334,1,188.14000000000001,4,1,1,41,promising
12895.0,-322,2,372.8,3,2,2,32,about_to_sleep
12897.0,-160,2,216.5,1,2,1,12,hibernating
12901.0,-356,28,17654.539999999997,5,5,5,55,champions
12902.0,-100,1,138.67999999999998,1,1,1,11,hibernating
12904.0,-346,2,509.58,4,2,3,42,potential_loyalists
12906.0,-353,5,2919.81,5,4,5,54,champions
12908.0,-188,2,750.0,2,2,3,22,hibernating
12909.0,-325,5,2178.67,3,4,5,34,loyal_customers
12910.0,-341,8,3075.0400000000004,4,5,5,45,loyal_customers
12912.0,-362,5,1662.3,5,4,4,54,champions
12913.0,-360,5,2483.6299999999997,5,4,5,54,champions
12915.0,-216,2,363.65,2,2,2,22,hibernating
12916.0,-226,4,3006.1499999999996,2,4,5,24,at_Risk
12917.0,-236,1,594.0,2,1,3,21,hibernating
12919.0,-356,6,1335.19,5,5,4,55,champions
12920.0,-347,1,164.23000000000002,4,1,1,41,promising
12921.0,-355,37,16587.09,5,5,5,55,champions
12922.0,-203,1,405.38,2,1,2,21,hibernating
12923.0,-300,1,176.97,3,1,1,31,about_to_sleep
12924.0,-276,4,933.7000000000002,2,4,3,24,at_Risk
12925.0,-360,2,694.05,5,2,3,52,potential_loyalists
12928.0,-329,5,2062.7,3,4,5,34,loyal_customers
12929.0,-53,1,117.85,1,1,1,11,hibernating
12930.0,-286,2,415.8,2,2,2,22,hibernating
12931.0,-343,15,42055.96,4,5,5,45,loyal_customers
12933.0,-340,3,607.53,4,3,3,43,potential_loyalists
12935.0,-362,7,2160.7,5,5,5,55,champions
12936.0,-347,4,1063.8999999999999,4,4,4,44,loyal_customers
12937.0,-349,4,1504.2700000000002,4,4,4,44,loyal_customers
12938.0,-339,1,114.13999999999999,4,1,1,41,promising
12939.0,-300,8,11581.800000000001,3,5,5,35,loyal_customers
12940.0,-310,2,913.54,3,2,3,32,about_to_sleep
12942.0,-233,3,683.9000000000001,2,3,3,23,at_Risk
12944.0,-329,2,604.5099999999999,3,2,3,32,about_to_sleep
12945.0,-76,1,462.95000000000005,1,1,2,11,hibernating
12947.0,-221,6,1603.99,2,5,4,25,cant_loose
12948.0,-348,7,2064.95,4,5,5,45,loyal_customers
